13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	디자인 맘에 들어서 구매했습니다.구매시 캡슐 작은것은...	디자인 맘에 들어서 구매했습니다.구매시 캡슐 작은것은 호환 안되니, 알고 구매해야 할듯 합니다.미리 알았으면 구매하지 안았을것을.....캡슐 호환만 된다면 정말 좋은 상품입니다	100	옥션	2021.05.07.	hj****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	너무 기대를 안하기를.. 그냥 돌체구스토에요.. 신규모델이나 기존모델이나 비슷한듯요. 캡슐은 좀더 별로...	너무 기대를 안하기를..그냥 돌체구스토에요..신규모델이나 기존모델이나 비슷한듯요.캡슐은 좀더 별로인듯.자주 이용하지 않을듯해서구매한캡슐 다 먹고나면 장식품이 될까 걱정이네요	100	현대Hmall	2021.07.02.	sj****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	스타벅스캡슐 호환되서 좋네요. 터치 매우 잘되구요, 소	스타벅스캡슐 호환되서 좋네요. 터치 매우 잘되구요, 소음도 이정도면 괜찮은것 같아요. 커피 내릴때 향이 솔솔~ 지니오 터치가 작은기쁨을 주네요^^	100	SSG.COM	2021.06.17.	wb****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	배송잘왔어요. 주말에 주문해서 화요일에 받았습니다키 ...	배송잘왔어요. 주말에 주문해서 화요일에 받았습니다키 큰컵은 잘 안들어가는데 작은컵을 사용해야 합니다블랙이고 깔끔하고 디자인이 예전모델보다 고급지네요	100	옥션	2021.08.25.	na****	"['<img src=""http://bampic.auction.co.kr/v1/233/043/c352043233/00101/c352043233192962310100.jpg"" alt=""배송잘왔어요. 주말에 주문해서 화요..."" onerror=""this.src=\'http://img.danawa.com/new/noData/img/noImg_160.gif\'"">', '<img src=""http://bampic.auction.co.kr/v1/233/043/c352043233/01101/c352043233192962310100.jpg"" alt=""배송잘왔어요. 주말에 주문해서 화요..."" onerror=""this.src=\'http://img.danawa.com/new/noData/img/noImg_160.gif\'"">']"
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	깜찍하고 예쁜 머신	여러모로 고민하다 장만한 커피머신인데..기능이나 디자인 다 맘에 드는데..한가지 아쉬운 점은 높은 컵은 사용 할 수 없다는거..크기가 작다보니..	80	G마켓	2021.09.05.	su****	"['<img src=""http://bampic.gmarket.co.kr/v1/300/877/2104877300/01962/2104877300358018796200.jpg"" alt=""여러모로 고민하다 장만한 커피머신..."" onerror=""this.src=\'http://img.danawa.com/new/noData/img/noImg_160.gif\'"">', '<img src=""http://bampic.gmarket.co.kr/v1/300/877/2104877300/02962/2104877300358018796200.jpg"" alt=""여러모로 고민하다 장만한 커피머신..."" onerror=""this.src=\'http://img.danawa.com/new/noData/img/noImg_160.gif\'"">', '<img src=""http://bampic.gmarket.co.kr/v1/300/877/2104877300/03962/2104877300358018796200.jpg"" alt=""여러모로 고민하다 장만한 커피머신..."" onerror=""this.src=\'http://img.danawa.com/new/noData/img/noImg_160.gif\'"">']"
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	깜찍하네요	디자인도 심플하면서도  사이즈도 깜찍하고 커피추출성능도 괜찮네요 터치식디자인이라 잘 사용하겠습니다	100	G마켓	2021.06.17.	jj****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	최고예요	주문후 5일정도 걸려서 받았네요...ㅠㅠ지인이 사용하고 있길래 넘 예뻐서 바로 구입했어요.. 커피맛 조쿠해서...집에서 맘껏 커피 내려서 먹어야겠어요...	100	11번가	2021.09.28.	ph****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	처음 세정하는데 추출이 안되고 소리만 나길래 고객센터통화후 10번넘게 진행하니 정상추출 되었어요. ...	처음  세정하는데 추출이 안되고 소리만 나길래고객센터통화후 10번넘게 진행하니  정상추출 되었어요. 일리랑  돌체 번갈아 먹으니 좋아요	100	현대Hmall	2021.09.17.	so****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	주말마다 아이스 카라멜마끼야또 마셔요.  근데 캡슐 종	주말마다 아이스 카라멜마끼야또 마셔요. <br> 근데 캡슐 종류가 확실히 타사 네쏘가 훨씬 많군요. <br> 참고 하셔 구매하세요, 물양 알람도 좀 떳으면 좋겠어요..	100	SSG.COM	2021.06.29.	bl****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	스벅라떼 첫 시음했는데 기대가 컸는지 맛있다는 생각은 안드네요. 전지분유 냄새도 많이나고.. 역시 사 ...	스벅라떼 첫 시음했는데  기대가 컸는지맛있다는 생각은 안드네요.전지분유 냄새도 많이나고..역시 사 먹는것만은 못하네요.다른것도 먹어봐야겠지만 괜히 샀다 벌써 후회가 됩니다	100	현대Hmall	2021.04.21.	ch****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	최고예요	커피를자주마시는데 사먹는게 부담스러워서이번에 구매했어요 디자인도 너무 이쁘고귀여워요 기능도 좋고 사용법도 쉬워요진작 살껄 그랬어요^^	100	11번가	2021.08.13.	le****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	캡슐이 오지 않아 사용은 못해봤지만.. 우선 너~~무~...	캡슐이 오지 않아 사용은 못해봤지만.. 우선 너~~무~ 이쁩니다~~^^예정일보다..배송은빨리왔는데..구성품누락으로.. 별하나뺐어요~디자인만으론..굿~^^	80	옥션	2021.04.12.	******	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	최고예요	친구 생일선물 목적으로 구매했는데, 맛도 좋고 디자인도 깔끔하고 크기도 적당해서 저도 같은 제품으로 재구매할까 고민 중입니다!	100	11번가	2021.05.16.	nm****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	다른거랑 계속 고민하다가 최신상 터치로샀는데 아주간편하고 쉬워요？카드할인과 포인트할인으로 공식홈보...	다른거랑 계속 고민하다가 최신상 터치로샀는데 아주간편하고 쉬워요？카드할인과 포인트할인으로 공식홈보다 싸게잘샀어요 삶의질이 달라지길 바라며~~^^	100	현대Hmall	2021.06.08.	ru****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	최고예요	집안에머무는시간이길어지면서좀더 편하게 커피마실려고 주문해봤어요 ㅎㅎ 첨이라아직 다마셔보젠 못했지만...첫잔은 꽤만족스러워요 ㅎㅎ	100	11번가	2021.08.31.	ww****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	우선 배송은 빨라요..작아서 자리도 많이 차지하지 않아	우선 배송은 빨라요..작아서 자리도 많이 차지하지 않아서 좋더라구요..음..근데 소음은 조금 있는편이고 커피맛도 그닥..	100	신세계몰	2021.06.23.	vj****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	예쁘네요	이왕 사는거 심플하고 편하고 디자인도 예쁜 터치형으로 샀는데 받으니 더 예쁘네요..맛난커피 마니 마셔야겠어요.	80	G마켓	2021.06.02.	ew****	"['<img src=""http://bampic.gmarket.co.kr/v1/460/399/2127399460/00634/2127399460352035863400.jpg"" alt=""이왕 사는거 심플하고 편하고 디자인..."" onerror=""this.src=\'http://img.danawa.com/new/noData/img/noImg_160.gif\'"">']"
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	최고예요	배송 빠르구요  사이즈 아담해서 넘 귀여워요  커피맛도 좋구요  많이 고민했었는데  구매하길 정말 잘한거같아요~~^^	100	11번가	2021.08.13.	sn****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	최고예요	배송 빨랐어요~여러 커피머신 고민하다가 터치도 되고 여러 캡슐 호환이 돼서 구입했어요^^커피캡슐 이용권도 주시고 감사합니다.	100	11번가	2021.09.16.	hr****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	스벅커피를 집에서 즐길스 있어서 넘 좋네요.  소소한 	스벅커피를 집에서 즐길스 있어서 넘 좋네요. <br> 소소한 행복이 이런 것~~ 돌체구스토 좋아요.. 터치형이라 아주 간단. 	100	신세계몰	2021.05.11.	dd****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	최고예요	사이즈 작고  디자인도 이쁘네요.사용하기 편해요~기기등록후 만원기프트쿠폰으로   스타벅스 아메리카노 받았어요~	100	11번가	2021.06.12.	ta****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	너무 마음에 들어요! 추천합니다. 고민고민하다 샀어요. 넘 잘쓰고 있습니다. 사이즈도 작아서 어디에 놔...	너무 마음에 들어요! 추천합니다.  고민고민하다 샀어요. 넘 잘쓰고 있습니다.  사이즈도 작아서 어디에 놔도 잘 어울립니다.	100	현대Hmall	2021.06.18.	og****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	최고예요	구입하고 싶었는데 조금 망설인사이에터치가 나왔네요도착하자마자 세척하고한잔 뽑았습니다너무 기분이 좋네요~강추합니다~	100	11번가	2021.08.27.	pj****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	일단 제가 전에 사용하던게 직접 내려서 사용하던 거였는	일단 제가 전에 사용하던게 직접 내려서 사용하던 거였는데 돌체구스토는 워낙 간편하게 사용할 수 있어서 좋습니다ㅎㅎ	100	신세계몰	2021.07.31.	yu****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	최고예요	집에서 홈카페를 들기네요 ㅎㅎ핸드드립으로 먹다가 캡슐이 편리하기도하고맛도 좋아서 구매하게 되었어요~^^	100	11번가	2021.04.14.	rl****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	고민 많이 하고 샀는데 잘 산 것 같아요.  스타벅스 	고민 많이 하고 샀는데 잘 산 것 같아요. <br> 스타벅스 호환도 좋고 소음도 크게 없고 작동도 편해요.	100	신세계몰	2021.06.03.	su****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	최고예요	저두 네스카페사려다 캡슐이 종류 더많은거루샀어요맛은 무난 나쁘지않아요.텀블러도 좋구요	100	11번가	2021.08.15.	yd****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	최고예요	배송빠르게옵니다  바자마자 세척함하고 바로내려보니 작동도 잘되고   생각보다 맛도 괜찮네요	100	11번가	2021.09.15.	dn****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	좋아요	조작방법이번거롭다는얘기가있는데괜찮았던것같아요사이즈작아서공간차지도안하고만족합니다	80	11번가	2021.05.22.	jh****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	캡슐이 하나도없이 기계만와 난감하네요 마트가 부랴부랴 	캡슐이 하나도없이 기계만와 난감하네요 <br> 마트가 부랴부랴 샀는데 원하는맛은아니지만 편리하네요	100	SSG.COM	2021.05.12.	io****	[]
